id,code_alphabetic,code_numeric,decimal_digits,name,name_plural,rounding,symbol,symbol_native
aed,aed,784,2,Dirham de los Emiratos Árabes Unidos,Dirhams EAU,0,AED,د.إ.‏
afn,afn,971,0,Afgani Afgano,Afganis Afganos,0,Af,؋
all,all,008,0,Lek Albanés,Leks Albaneses,0,ALL,Lek
amd,amd,051,0,Dram Armenio,Drams Armenios,0,AMD,դր.
ars,ars,032,2,Peso Argentino,Pesos Argentinos,0,AR$,$
aud,aud,036,2,Dólar Australiano,Dólares Australianos,0,AU$,$
azn,azn,944,2,Manat Azerbaiyano,Manats Azerbaiyanos,0,man.,ман.
bam,bam,977,2,Marco Bosnioherzegovino,Marcos bosnioherzegovinos,0,KM,KM
bdt,bdt,050,2,Taka Bangladesí,Takas Bangladesí,0,Tk,৳
bgn,bgn,975,2,Lev Búlgaro,Levas Búlgaros,0,BGN,лв.
bhd,bhd,048,3,Dinar Bahreiní,Dinares Bahreiníes,0,BD,د.ب.‏
bif,bif,108,0,Franco Burundés,Francos Burundeses,0,FBu,FBu
bnd,bnd,096,2,Dólar de Brunéi,Dólares de Brunéi,0,BN$,$
bob,bob,068,2,Boliviano,Bolivianos,0,Bs,Bs
brl,brl,986,2,Real Brasileño,Reales Brasileños,0,R$,R$
bwp,bwp,072,2,Pula Botsuano,Pulas Botsuanos,0,BWP,P
byn,byn,933,2,Rublo Bielorruso,Rublos Bielorrusos,0,Br,руб.
bzd,bzd,084,2,Dólar Beliceño,Dólares Beliceños,0,BZ$,$
cad,cad,124,2,Dólar Canadiense,Dólares Canadienses,0,CA$,$
cdf,cdf,976,2,Franco Congoleño,Francos Congoleños,0,CDF,FrCD
chf,chf,756,2,Franco Suizo,Francos Suizos,0.05,CHF,CHF
clp,clp,152,0,Peso Chileno,Pesos Chilenos,0,CL$,$
cny,cny,156,2,Yuan Chino,Yuanes Chinos,0,CN¥,CN¥
cop,cop,170,0,Peso Colombiano,Pesos Colombianos,0,CO$,$
crc,crc,188,0,Colón Costarricense,Colones Costarricenses,0,₡,₡
cve,cve,132,2,Escudo Caboverdiano,Escudos Caboverdianos,0,CV$,CV$
czk,czk,203,2,Corona Checa,Coronas Checas,0,Kč,Kč
djf,djf,262,0,Franco Yibutiano,Francos Yibutianos,0,Fdj,Fdj
dkk,dkk,208,2,Corona Danesa,Coronas Danesas,0,Dkr,kr
dop,dop,214,2,Peso Dominicano,Pesos Dominicanos,0,RD$,RD$
dzd,dzd,012,2,Dinar Argelino,Dinares Argelinos,0,DA,د.ج.‏
egp,egp,818,2,Libra Egipcia,Libras Egipcias,0,EGP,ج.م.‏
ern,ern,232,2,Nakfa Eritreo,Nakfas Eritreos,0,Nfk,Nfk
etb,etb,230,2,Birr Etíope,Birrs Etíopes,0,Br,Br
eur,eur,978,2,Euro,Euros,0,€,€
gbp,gbp,826,2,Libra Esterlina,Libras Esterlinas,0,£,£
gel,gel,981,2,Lari Georgiano,Laris Georgianos,0,GEL,GEL
ghs,ghs,936,2,Cedi Ghanés,Cedis Ghaneses,0,GH₵,GH₵
gnf,gnf,324,0,Franco Guineano,Francos Guineanos,0,FG,FG
gtq,gtq,320,2,Quetzal Guatemalteco,Quetzales Guatemaltecos,0,GTQ,Q
hkd,hkd,344,2,Dólar de Hong Kong,Dólares de Hong Kong,0,HK$,$
hnl,hnl,340,2,Lempira Hondureño,Lempiras Hondureños,0,HNL,L
hrk,hrk,191,2,Kuna Croata,Kunas Croatas,0,kn,kn
huf,huf,348,0,Forinto Húngaro,Forintos Húngaros,0,Ft,Ft
idr,idr,360,0,Rupia Indonesia,Rupias Indonesias,0,Rp,Rp
ils,ils,376,2,Nuevo Séquel Israelí,Nuevos Séqueles Israelíes,0,₪,₪
inr,inr,356,2,Rupia India,Rupias Indias,0,Rs,টকা
iqd,iqd,368,0,Dinar Iraquí,Dinares Iraquíes,0,IQD,د.ع.‏
irr,irr,364,0,Rial Iraní,Riales Iraníes,0,IRR,﷼
isk,isk,352,0,Corona Islandesa,Coronas Islandesas,0,Ikr,kr
jmd,jmd,388,2,Dólar Jamaiquino,Dólares Jamaiquinos,0,J$,$
jod,jod,400,3,Dinar Jordano,Dinares Jordanos,0,JD,د.أ.‏
jpy,jpy,392,0,Yen Japonés,Yenes Japoneses,0,¥,￥
kes,kes,404,2,Chelín Keniano,Chelines Kenianos,0,Ksh,Ksh
khr,khr,116,2,Riel Camboyano,Rieles Camboyanos,0,KHR,៛
kmf,kmf,174,0,Franco Comorense,Francos Comorenses,0,CF,FC
krw,krw,410,0,Won Surcoreano,Wones Surcoreanos,0,₩,₩
kwd,kwd,414,3,Dinar Kuwaití,Dinares Kuwaitíes,0,KD,د.ك.‏
kzt,kzt,398,2,Tenge Kazajo,Tenges Kazajos,0,KZT,тңг.
lbp,lbp,422,0,Libra Libanesa,Libras Libanesas,0,LB£,ل.ل.‏
lkr,lkr,144,2,Rupia de Sri Lanka,Rupias de Sri Lanka,0,SLRs,SL Re
lvl,lvl,428,2,Lats Letón,Lats Letones,0,Ls,Ls
lyd,lyd,434,3,Dinar Libio,Dinares Libios,0,LD,د.ل.‏
mad,mad,504,2,Dírham Marroquí,Dírhams Marroquíes,0,MAD,د.م.‏
mdl,mdl,498,2,Leu Moldavo,Leus Moldavos,0,MDL,MDL
mga,mga,969,0,Ariary Malgache,Ariaries Malgaches,0,MGA,MGA
mkd,mkd,807,2,Denar Macedonio,Denares Macedonios,0,MKD,MKD
mmk,mmk,104,0,Kyat de Myanmar,Kyats de Myanmar,0,MMK,K
mop,mop,446,2,Pataca de Macao,Patacas de Macao,0,MOP$,MOP$
mur,mur,480,0,Rupia Mauriciana,Rupias Mauricianas,0,MURs,MURs
mxn,mxn,484,2,Peso Mexicano,Pesos Mexicanos,0,MX$,$
myr,myr,458,2,Ringgit Malayo,Ringgits Malayos,0,RM,RM
mzn,mzn,943,2,Metical Mozambiqueño,Meticales Mozambiqueños,0,MTn,MTn
nad,nad,516,2,Dólar Namibio,Dólares Namibios,0,N$,N$
ngn,ngn,566,2,Naira Nigeriano,Nairas Nigerianos,0,₦,₦
nio,nio,558,2,Córdoba Nicaragüense,Córdobas Nicaragüenses,0,C$,C$
nok,nok,578,2,Corona Noruega,Coronas Noruegas,0,Nkr,kr
npr,npr,524,2,Rupia Nepalí,Rupias Nepalíes,0,NPRs,नेरू
nzd,nzd,554,2,Dólar Neozelandés,Dólares Neozelandeses,0,NZ$,$
omr,omr,512,3,Rial Omaní,Riales Omaníes,0,OMR,ر.ع.‏
pab,pab,590,2,Balboa Panameño,Balboas Panameños,0,B/.,B/.
pen,pen,604,2,Sol Peruano,Soles Peruanos,0,S/.,S/.
php,php,608,2,Peso Filipino,Pesos Filipinos,0,₱,₱
pkr,pkr,586,0,Rupia Pakistaní,Rupias Pakistaníes,0,PKRs,₨
pln,pln,985,2,Złoty Polaco,Złotys Polacos,0,zł,zł
pyg,pyg,600,0,Guaraní Paraguayo,Guaraníes Paraguayos,0,₲,₲
qar,qar,634,2,Rial Catarí,Riales Cataríes,0,QR,ر.ق.‏
ron,ron,946,2,Leu Rumano,Leus Rumanos,0,RON,RON
rsd,rsd,941,0,Dinar Serbio,Dinares Serbios,0,din.,дин.
rub,rub,643,2,Rublo Ruso,Rublos Rusos,0,RUB,₽.
rwf,rwf,646,0,Franco Ruandés,Francos Ruandeses,0,RWF,FR
sar,sar,682,2,Riyal Saudí,Riyales Saudíes,0,SR,ر.س.‏
sdg,sdg,938,2,Libra Sudanesa,Libras Sudanesas,0,SDG,SDG
sek,sek,752,2,Corona Sueca,Coronas Suecas,0,Skr,kr
sgd,sgd,702,2,Dólar de Singapur,Dólares de Singapur,0,S$,$
sos,sos,706,0,Chelín Somalí,Chelines Somalíes,0,Ssh,Ssh
syp,syp,760,0,Libra Siria,Libras Sirias,0,SY£,ل.س.‏
thb,thb,764,2,Baht Tailandés,Bahts Tailandeses,0,฿,฿
tnd,tnd,788,3,Dinar Tunecino,Dinares Tunecinos,0,DT,د.ت.‏
top,top,776,2,Paʻanga Tongano,Paʻangas Tonganos,0,T$,T$
try,try,949,2,Lira Turca,Liras Turcas,0,TL,TL
ttd,ttd,780,2,Dólar de Trinidad y Tobago,Dólares de Trinidad y Tobago,0,TT$,$
twd,twd,901,2,Nuevo Dólar Taiwanés,Nuevos Dólares Taiwaneses,0,NT$,NT$
tzs,tzs,834,0,Chelín Tanzano,Chelines Tanzanos,0,TSh,TSh
uah,uah,980,2,Grivna Ucraniana,Grivnas Ucranianas,0,₴,₴
ugx,ugx,800,0,Chelín Ugandés,Chelines Ugandeses,0,USh,USh
usd,usd,840,2,Dólar Estadounidense,Dólares Estadounidenses,0,$,$
uyu,uyu,858,2,Peso Uruguayo,Pesos Uruguayos,0,$U,$
uzs,uzs,860,0,Som Uzbeko,Soms Uzbekos,0,UZS,UZS
vnd,vnd,704,0,Dong Vietnamita,Dongs Vietnamitas,0,₫,₫
xaf,xaf,950,0,Franco CFA de África Central,Francos CFA de África Central,0,FCFA,FCFA
xcd,xcd,951,2,Dólar del Caribe Oriental,Dólares del Caribe Oriental,0,EC$,EC$
xof,xof,952,0,Franco CFA de África Occidental,Francos CFA de África Occidental,0,CFA,CFA
yer,yer,886,0,Rial Yemení,Riales Yemeníes,0,YR,ر.ي.‏
zar,zar,710,2,Rand Sudafricano,Rands Sudafricanos,0,R,R